text,label
Government introduces new healthcare reforms to improve hospitals,REAL
Scientists discover a new method to reduce pollution levels,REAL
Stock market rises as economy shows signs of recovery,REAL
Prime minister addresses nation on economic growth,REAL
New education policy focuses on digital learning and skills,REAL
Aliens secretly landed in India and met officials,FAKE
Miracle pill claims to cure all diseases instantly,FAKE
Shocking rumor says world will end tomorrow,FAKE
Fake message spreads about free money from government,FAKE
Conspiracy theory claims hidden technology controls weather,FAKE